url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
,6ca397c9-ad64-4d56-87f7-1128aa1940d1_2024_05_17_06_58_57_867972.sb3,17,1,1,2,2,2,2,4,2,1,0,0,0,0,None,Default,13,1,1,2,2,2,2,3,181
,948df981-36fc-4f11-af77-9eee6b17f516_2024_05_09_17_51_05_43889.sb3,34,4,4,4,4,4,3,4,3,4,13,0,0,0,None,Default,21,3,3,3,3,3,3,3,933
,d532e4b6-8558-47dd-999e-31b225687535_2024_05_25_07_51_10_743503.sb3,17,0,0,4,2,2,2,4,3,0,0,0,0,0,None,Default,12,0,0,3,2,2,2,3,23
,3c7fed39-dd6c-47d6-932f-87854e442f80_2024_06_06_13_14_04_847198.sb3,10,1,2,0,3,1,2,1,0,0,0,0,0,0,None,Default,10,1,2,0,3,1,2,1,51
,948664627_2024_06_12_15_30_09_913114.sb3,7,1,0,0,1,2,2,1,0,0,0,0,0,1,None,Default,7,1,0,0,1,2,2,1,14
,0df18f75-e1f3-44f9-bcc8-24a78b12db84_2024_05_19_17_57_46_289296.sb3,24,1,4,4,3,2,3,4,2,1,0,0,0,0,None,Default,18,1,3,3,3,2,3,3,75
,4da360b1-8ac6-4e9d-a2d0-6c8286ba93cf_2024_05_31_14_30_08_607405.sb3,11,1,1,0,2,1,2,1,0,3,0,0,0,1,None,Default,8,1,1,0,2,1,2,1,17
,bab8fdf3-f42c-406b-8d8a-de3e1593e0f3_2024_05_14_07_56_56_668841.sb3,18,1,2,1,2,2,2,4,2,2,2,2,0,1,None,Default,13,1,2,1,2,2,2,3,266
,1028322535_2024_06_09_09_16_31_237053.sb3,13,1,2,0,3,1,2,1,3,0,0,0,0,0,None,Default,10,1,2,0,3,1,2,1,1402
,45be5169-2610-4df2-997d-90321300a6f1_2024_06_27_01_54_05_176261.sb3,30,3,4,4,3,2,4,4,2,4,12,0,0,0,None,Default,20,3,3,3,3,2,3,3,1300
,e9d5981f-6f97-4823-a0c5-03f93b6b0acc_2024_06_12_17_56_52_229312.sb3,15,1,1,1,2,2,2,2,0,4,0,1,1,3,None,Default,11,1,1,1,2,2,2,2,24
,555eb0cf-2501-4a1d-b463-2f38de425859_2024_05_17_07_10_23_48137.sb3,19,1,1,1,2,3,2,4,2,3,10,0,0,0,None,Default,13,1,1,1,2,3,2,3,159
,0bdeada6-4b73-40a5-b675-5866c18889f7_2024_06_27_01_43_45_332462.sb3,31,3,4,4,4,2,4,4,2,4,16,0,0,0,None,Default,20,3,3,3,3,2,3,3,1340
,1026488596_2024_05_29_12_09_33_986478.sb3,5,1,0,0,0,0,0,1,0,3,0,2,1,1,None,Default,2,1,0,0,0,0,0,1,2
,9fc79985-33e9-4c45-be72-072bc046c99e_2024_06_10_19_38_44_14841.sb3,15,1,3,0,3,3,1,1,0,3,0,4,0,1,None,Default,12,1,3,0,3,3,1,1,47
,1029090734_2024_06_13_11_38_52_637909.sb3,16,1,2,2,0,2,2,4,2,1,0,0,2,0,None,Default,12,1,2,2,0,2,2,3,268
,1037770320_2024_06_15_13_48_39_612710.sb3,31,4,4,4,3,2,3,4,4,3,0,1,0,0,None,Default,20,3,3,3,3,2,3,3,920
,0f1686df-2519-4bdb-9fb5-c60ac8d371ee_2024_06_07_08_28_35_96115.sb3,28,1,4,4,3,2,4,4,2,4,0,0,0,0,None,Default,18,1,3,3,3,2,3,3,104
,218476ed-ebd5-41af-89ed-c24d1938ae40_2024_05_18_14_49_24_226374.sb3,21,2,4,1,2,3,2,4,2,1,0,0,0,1,None,Default,16,2,3,1,2,3,2,3,63
,957967074_2024_06_19_14_47_43_228767.sb3,14,1,1,0,2,3,1,4,2,0,0,4,7,4,None,Default,11,1,1,0,2,3,1,3,97
,1037887975_2024_06_21_07_52_18_770125.sb3,10,1,1,0,2,1,1,1,0,3,0,0,0,1,None,Default,7,1,1,0,2,1,1,1,35
,1038879849_2024_06_20_02_55_03_055393.sb3,26,1,4,2,3,3,4,4,2,3,0,0,0,1,None,Default,18,1,3,2,3,3,3,3,322
